Phosphate;Temperature;GrowthRate
4;25;1.053512602
3;25;1.009492646
2;25;0.923468916
1;25;0.680467576
20;24;1.146399103
19;24;1.145034634
18;24;1.143519362
17;24;1.141826824
16;24;1.13992398
15;24;1.137769036
14;24;1.135308341
13;24;1.132471852
12;24;1.129166367
11;24;1.125265084
10;24;1.120590964
9;24;1.114889113
8;24;1.107778702
7;24;1.098664229
6;24;1.086559444
5;24;1.069703958
4;24;1.044618255
3;24;1.003327316
2;24;0.922636627
1;24;0.694700155
20;23;1.119434753
19;23;1.118154874
18;23;1.116733541
17;23;1.115145932
16;23;1.113361055
15;23;1.111339707
14;23;1.109031563
13;23;1.106370922
12;23;1.10327036
11;23;1.099610937
10;23;1.095226589
9;23;1.089878225
8;23;1.083208624
7;23;1.074659203
6;23;1.063304854
5;23;1.047494324
4;23;1.023963808
3;23;0.985232702
2;23;0.909544432
1;23;0.695738882
20;22;1.083035518
19;22;1.081834985
18;22;1.080501768
17;22;1.079012582
16;22;1.077338358
15;22;1.075442325
14;22;1.073277273
13;22;1.070781579
12;22;1.067873237
11;22;1.06444068
10;22;1.060328139
9;22;1.055311347
8;22;1.049055228
7;22;1.041035828
6;22;1.030385392
5;22;1.015555036
4;22;0.993483294
3;22;0.957153323
2;22;0.886157347
1;22;0.685606672
20;21;1.038873344
19;21;1.037747239
18;21;1.036496674
17;21;1.03509981
16;21;1.03352938
15;21;1.031750891
14;21;1.029720062
13;21;1.027379088
12;21;1.024651049
11;21;1.021431293
10;21;1.01757371
9;21;1.012867933
8;21;1.006999662
7;21;0.999477425
6;21;0.989487263
5;21;0.975576314
4;21;0.954872911
3;21;0.920795216
2;21;0.854200636
1;21;0.6660831
20;20;0.988410135
19;20;0.987353842
18;20;0.986180806
17;20;0.984870541
16;20;0.98339747
15;20;0.981729238
14;20;0.97982431
13;20;0.977628465
12;20;0.975069551
11;20;0.972049404
10;20;0.968430971
9;20;0.964016929
8;20;0.958512462
7;20;0.951456566
6;20;0.942085744
5;20;0.929037205
4;20;0.909617309
3;20;0.87765226
2;20;0.815186211
1;20;0.638731022
20;19;0.932921184
19;19;0.931930377
18;19;0.930830063
17;19;0.929601028
16;19;0.92821928
15;19;0.92665447
14;19;0.924867638
13;19;0.922807924
12;19;0.92040765
11;19;0.917574737
10;19;0.914180629
9;19;0.910040235
8;19;0.904877017
7;19;0.898258552
6;19;0.889468674
5;19;0.877229079
4;19;0.859013119
3;19;0.829029744
2;19;0.770436278
1;19;0.604920428
20;18;0.87351614
19;18;0.872586758
18;18;0.871554658
17;18;0.870401817
16;18;0.86910573
15;18;0.867637931
14;18;0.865961874
13;18;0.864029852
12;18;0.861778382
11;18;0.859121096
10;18;0.855937406
9;18;0.852053696
8;18;0.847210572
7;18;0.841002418
6;18;0.832757468
5;18;0.821276667
4;18;0.804190006
3;18;0.77606545
2;18;0.721104486
1;18;0.565849791
20;17;0.811157748
19;17;0.810285982
18;17;0.809317868
17;17;0.808236497
16;17;0.807020761
15;17;0.805643958
14;17;0.804071808
13;17;0.802259562
12;17;0.800147672
11;17;0.797655124
10;17;0.794668807
9;17;0.791025868
8;17;0.786482993
7;17;0.780659714
6;17;0.77292591
5;17;0.762156861
4;17;0.746129487
3;17;0.719748513
2;17;0.668194854
1;17;0.522565174
20;16;0.746678601
19;16;0.745860881
18;16;0.744952785
17;16;0.743938453
16;16;0.742798087
15;16;0.741506639
14;16;0.740031954
13;16;0.738332058
12;16;0.736351095
11;16;0.734013073
10;16;0.731211892
9;16;0.727794797
8;16;0.723533558
7;16;0.718071293
6;16;0.710816946
5;16;0.700715524
4;16;0.685681768
3;16;0.660936282
2;16;0.612578692
1;16;0.475977325
20;15;0.68079611
19;15;0.680029084
18;15;0.679177285
17;15;0.678225837
16;15;0.677156168
15;15;0.675944783
14;15;0.674561521
13;15;0.672967011
12;15;0.671108857
11;15;0.668915781
10;15;0.666288259
9;15;0.663083007
8;15;0.659085943
7;15;0.653962311
6;15;0.647157697
5;15;0.637682513
4;15;0.623580775
3;15;0.600369385
2;15;0.555009724
1;15;0.426876959
20;14;0.614125859
19;14;0.613406385
18;14;0.612607393
17;14;0.61171493
16;14;0.610711575
15;14;0.60957529
14;14;0.608277784
13;14;0.606782125
12;14;0.605039168
11;14;0.602982051
10;14;0.600517423
9;14;0.59751088
8;14;0.593761614
7;14;0.588955622
6;14;0.58257286
5;14;0.57368509
4;14;0.560457589
3;14;0.53868519
2;14;0.496137601
1;14;0.375948426
20;13;0.547193538
19;13;0.546518667
18;13;0.545769209
17;13;0.544932075
16;13;0.543990923
15;13;0.542925081
14;13;0.541708014
13;13;0.540305078
12;13;0.538670176
11;13;0.53674059
10;13;0.534428756
9;13;0.531608604
8;13;0.528091774
7;13;0.523583729
6;13;0.517596667
5;13;0.509259894
4;13;0.496852432
3;13;0.476429813
2;13;0.436519961
1;13;0.323781915
20;12;0.480445574
19;12;0.479812542
18;12;0.479109547
17;12;0.47832431
16;12;0.477441505
15;12;0.47644174
14;12;0.475300125
13;12;0.473984165
12;12;0.472450618
11;12;0.470640657
10;12;0.468472145
9;12;0.465826828
8;12;0.462528024
7;12;0.458299455
6;12;0.452683561
5;12;0.444863627
4;12;0.433225365
3;12;0.414068846
2;12;0.376633206
1;12;0.270884354
20;11;0.414258615
19;11;0.413664828
18;11;0.413005415
17;11;0.41226886
16;11;0.411440784
15;11;0.410503
14;11;0.409432159
13;11;0.408197781
12;11;0.406759307
11;11;0.405061554
10;11;0.40302748
9;11;0.400546159
8;11;0.397451864
7;11;0.393485446
6;11;0.388217709
5;11;0.380882571
4;11;0.369965823
3;11;0.351996913
2;11;0.316882095
1;11;0.217689144
20;10;0.348947978
19;10;0.348391003
18;10;0.34777247
17;10;0.347081577
16;10;0.346304838
15;10;0.345425192
14;10;0.344420738
13;10;0.343262885
12;10;0.341913589
11;10;0.340321089
10;10;0.338413117
9;10;0.336085626
8;10;0.333183162
7;10;0.329462641
6;10;0.324521478
5;10;0.317641082
4;10;0.307401118
3;10;0.29054619
2;10;0.257608316
1;10;0.164564831
20;9;0.284775165
19;9;0.28425272
18;9;0.283672533
17;9;0.283024472
16;9;0.282295886
15;9;0.281470774
14;9;0.280528591
13;9;0.27944252
12;9;0.278176873
11;9;0.276683099
10;9;0.274893412
9;9;0.272710214
8;9;0.269987688
7;9;0.266497821
6;9;0.261862985
5;9;0.25540914
4;9;0.245804002
3;9;0.229993996
2;9;0.199098105
1;9;0.111822851
20;8;0.221954555
19;8;0.221464499
18;8;0.220920281
17;8;0.220312396
16;8;0.219628979
15;8;0.21885502
14;8;0.217971248
13;8;0.216952507
12;8;0.215765324
11;8;0.214364157
10;8;0.212685422
9;8;0.210637571
8;8;0.208083828
7;8;0.204810316
6;8;0.200462816
5;8;0.194409077
4;8;0.18539941
3;8;0.170569545
2;8;0.141589045
1;8;0.05972442
20;7;0.160659353
19;7;0.160199677
18;7;0.159689198
17;7;0.159118999
16;7;0.158477951
15;7;0.157751973
14;7;0.15692299
13;7;0.155967407
12;7;0.154853823
11;7;0.153539521
10;7;0.151964859
9;7;0.150043965
8;7;0.147648541
7;7;0.14457797
6;7;0.140499994
5;7;0.134821556
4;7;0.126370443
3;7;0.112459956
2;7;0.085276102
1;7;0.008486675
20;6;0.101026866
19;6;0.100595688
18;6;0.100116856
17;6;0.099582007
16;6;0.0989807
15;6;0.098299729
14;6;0.097522139
13;6;0.096625797
12;6;0.09558125
11;6;0.094348429
10;6;0.092871387
9;6;0.091069579
8;6;0.08882266
7;6;0.085942449
6;6;0.082117287
5;6;0.076790883
4;6;0.068863698
3;6;0.05581559
2;6;0.030317
1;6;-0.041711867
20;5;0.043163197
19;5;0.04275875
18;5;0.042309603
17;5;0.041807912
16;5;0.041243883
15;5;0.040605129
14;5;0.039875746
13;5;0.039034972
12;5;0.038055182
11;5;0.036898789
10;5;0.035513317
9;5;0.033823212
8;5;0.031715591
7;5;0.029013938
6;5;0.025425917
5;5;0.020429724
4;5;0.012993984
3;5;0.000754795
2;5;-0.023163011
1;5;-0.090726448
20;4;-0.012852603
19;4;-0.013231976
18;4;-0.013653279
17;4;-0.014123867
16;4;-0.014652929
15;4;-0.015252084
14;4;-0.015936249
13;4;-0.016724899
12;4;-0.017643947
11;4;-0.018728649
10;4;-0.020028229
9;4;-0.021613556
8;4;-0.023590515
7;4;-0.026124679
6;4;-0.02949026
5;4;-0.034176714
4;4;-0.041151476
3;4;-0.052631897
2;4;-0.075066918
1;4;-0.138441759
20;3;-0.066964854
19;3;-0.067320708
18;3;-0.067715891
17;3;-0.068157306
16;3;-0.068653569
15;3;-0.069215578
14;3;-0.069857329
13;3;-0.070597086
12;3;-0.071459158
11;3;-0.072476614
10;3;-0.073695626
9;3;-0.075182671
8;3;-0.077037069
7;3;-0.079414127
6;3;-0.08257106
5;3;-0.086966977
4;3;-0.093509338
3;3;-0.10427803
2;3;-0.125322192
1;3;-0.18476811
20;2;-0.119137988
19;2;-0.119471781
18;2;-0.119842465
17;2;-0.120256514
16;2;-0.120722011
15;2;-0.121249179
14;2;-0.121851144
13;2;-0.12254504
12;2;-0.123353668
11;2;-0.124308047
10;2;-0.125451486
9;2;-0.126846342
8;2;-0.128585776
7;2;-0.130815468
6;2;-0.133776687
5;2;-0.137900079
4;2;-0.144036847
3;2;-0.154137934
2;2;-0.173877463
1;2;-0.229638031
20;1;-0.169353675
19;1;-0.169666774
18;1;-0.170014478
17;1;-0.170402858
16;1;-0.170839496
15;1;-0.171333983
14;1;-0.171898629
13;1;-0.172549507
12;1;-0.173308004
11;1;-0.174203216
10;1;-0.175275768
9;1;-0.176584149
8;1;-0.178215748
7;1;-0.18030721
6;1;-0.183084848
5;1;-0.18695261
4;1;-0.192708929
3;1;-0.202183799
2;1;-0.220699576
1;1;-0.273003268
